"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
12,14,0.9,0.1,3.28328922787596,3.2,11.3075131025691,11.3431372549020,0.821461526430785,1.35107945252881,8.7395,7,8.7395,7,NaN,NA,1,0
13,14,0.9,0.1,3.46738569440804,3.37797619047619,11.4318104385287,11.4409722222222,0.899611838022942,1.27550937922561,10.2775,9,10.2775,9,NaN,NA,1,0
14,14,0.9,0.1,3.74590138003214,3.68301435406699,11.5895190572406,11.6428571428571,0.966099691809298,1.24445527910250,12.402,10,12.402,10,NaN,NA,1,0
10,15,0.9,0.1,2.85345878467937,2.75,11.6056985098235,11.6076923076923,0.696475300594296,1.57566168935913,6.1625,6,6.1625,6,NaN,NA,1,0
11,15,0.9,0.1,3.02646276574518,3,11.8232317578792,11.8333333333333,0.74663084713903,1.50112119164451,7.0265,6,7.0265,6,NaN,NA,1,0
12,15,0.9,0.1,3.22562734612302,3.11805555555556,12.0026891026257,12.0741758241758,0.833058575014386,1.43900905345848,7.863,7,7.863,7,NaN,NA,1,0
13,15,0.9,0.1,3.42105871123162,3.33333333333333,12.146027542911,12.2,0.884544153943972,1.39549341544819,9.2675,8,9.2675,8,NaN,NA,1,0
14,15,0.9,0.1,3.61541786978039,3.5,12.3174408095713,12.4,0.941610260789653,1.3353020194543,10.5445,9,10.5445,9,NaN,NA,1,0
15,15,0.9,0.1,3.90725378683046,3.80662393162393,12.4902565115427,12.5,1.00054456850339,1.23309560863381,12.7915,11,12.7915,11,NaN,NA,1,0
10,16,0.9,0.1,2.83448411197076,2.75,12.3690983327109,12.4285714285714,0.659906959084167,1.66855667222173,6.007,5,6.007,5,NaN,NA,1,0
11,16,0.9,0.1,3.02150405393111,3,12.5837874246003,12.6568627450980,0.735430570350537,1.58284120719609,6.622,6,6.622,6,NaN,NA,1,0
12,16,0.9,0.1,3.16241596699742,3.07417582417582,12.7874162760974,12.875,0.797993749885665,1.53598087347275,7.6105,7,7.6105,7,NaN,NA,1,0
13,16,0.9,0.1,3.30141588603273,3.2,12.9673148148535,13,0.828640708525175,1.46440741598506,8.536,7,8.536,7,NaN,NA,1,0
14,16,0.9,0.1,3.56903401194032,3.5,13.0936403213151,13.1578947368421,0.918090930811507,1.34088111513514,9.8635,8,9.8635,8,NaN,NA,1,0
15,16,0.9,0.1,3.82880309107461,3.73798627002288,13.1793415713063,13.2727272727273,1.01632612909351,1.36491436258289,11.359,10,11.359,10,NaN,NA,1,0
16,16,0.9,0.1,4.04649871521654,4,13.3905387708777,13.4285714285714,1.02827951455947,1.22896542351195,13.5905,11,13.5905,11,NaN,NA,1,0
10,17,0.9,0.1,2.83936870059765,2.75,13.0549646389429,13,0.674811872277673,1.73563346239448,5.616,5,5.616,5,NaN,NA,1,0
11,17,0.9,0.1,2.99313675779415,2.9,13.2161928880438,13.2222222222222,0.741564340025402,1.7282160225102,6.3195,6,6.3195,6,NaN,NA,1,0
12,17,0.9,0.1,3.13659774787622,3,13.4163142710682,13.5,0.760579180151566,1.66247727500552,6.945,6,6.945,6,NaN,NA,1,0
13,17,0.9,0.1,3.29244453216468,3.2,13.5837785051545,13.625,0.825855541991892,1.60900241437959,7.784,7,7.784,7,NaN,NA,1,0
14,17,0.9,0.1,3.47043581529728,3.36363636363636,13.8379500580720,14,0.907809751887641,1.48719003364700,8.9845,8,8.9845,8,NaN,NA,1,0
15,17,0.9,0.1,3.68390005395834,3.58333333333333,13.9387792078737,14,0.984704307421926,1.48685342129209,10.32,9,10.32,9,NaN,NA,1,0
16,17,0.9,0.1,3.94728673873556,3.85714285714286,14.1685265190884,14.2307692307692,1.0043114327777,1.32772614894202,11.8855,10,11.8855,10,NaN,NA,1,0
17,17,0.9,0.1,4.22635668132103,4.15384615384615,14.3308760637459,14.4361413043478,1.08426800421604,1.27688707918930,13.8195,12,13.8195,12,NaN,NA,1,0
10,18,0.9,0.1,2.83404210278026,2.75,13.6632253606043,13.75,0.651179304905706,1.84279678720774,5.5415,5,5.5415,5,NaN,NA,1,0
11,18,0.9,0.1,2.97565327772073,2.88888888888889,13.9342421369115,14,0.728876656748031,1.81049372798753,6.162,6,6.162,6,NaN,NA,1,0
12,18,0.9,0.1,3.11416868509906,3,14.1004646123864,14.1428571428571,0.763162448760794,1.74313802875341,6.61,6,6.61,6,NaN,NA,1,0
13,18,0.9,0.1,3.29494672468567,3.2,14.3833734218124,14.4285714285714,0.815917137580688,1.65331707219379,7.308,7,7.308,7,NaN,NA,1,0
14,18,0.9,0.1,3.45080457103479,3.375,14.5434333394420,14.625,0.903413923863456,1.57599801726718,8.2865,7,8.2865,7,NaN,NA,1,0
15,18,0.9,0.1,3.62586262596616,3.5,14.6966082142908,14.7777777777778,0.935854575368404,1.49782237331817,9.226,8,9.22661330665333,8,8,8,0.9995,5e-04
