"ID","l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rank","CoexistRank","Asy","cor","Rare"
248981,16,17,2.00,0.90,0.30,1.00,0.34,15.89,0.94,1.10,1.06,4.92,2,0,-3.81,29.70,0.02
248982,17,17,2.00,0.90,0.30,1.00,0.92,15.72,1.00,1.10,1.00,5.00,2,0,-3.89,28.86,0.05
248983,18,17,2.00,0.90,0.30,1.00,1.50,15.54,1.05,1.10,0.94,5.07,2,1,-3.96,27.86,0.08
248984,19,17,2.00,0.90,0.30,1.00,2.08,15.37,1.11,1.10,0.89,5.13,2,1,-4.03,26.77,0.11
248985,20,17,2.00,0.90,0.30,1.00,2.65,15.20,1.17,1.10,0.85,5.19,2,1,-4.09,25.66,0.14
248991,15,18,2.00,0.90,0.30,1.00,0.00,17.00,0.83,1.10,1.20,4.83,2,0,-3.73,31.70,0.00
248992,16,18,2.00,0.90,0.30,1.00,0.00,17.00,0.88,1.10,1.12,4.92,2,0,-3.81,32.47,0.00
248993,17,18,2.00,0.90,0.30,1.00,0.40,16.87,0.94,1.10,1.05,5.00,2,0,-3.89,32.11,0.02
248994,18,18,2.00,0.90,0.30,1.00,0.98,16.70,1.00,1.10,1.00,5.07,2,0,-3.96,31.20,0.05
248995,19,18,2.00,0.90,0.30,1.00,1.56,16.53,1.05,1.10,0.94,5.13,2,1,-4.03,30.16,0.08
248996,20,18,2.00,0.90,0.30,1.00,2.13,16.35,1.11,1.10,0.90,5.19,2,1,-4.09,29.07,0.11
249002,15,19,2.00,0.90,0.30,1.00,0.00,18.00,0.78,1.10,1.26,4.83,2,0,-3.73,33.57,0.00
249003,16,19,2.00,0.90,0.30,1.00,0.00,18.00,0.84,1.10,1.18,4.92,2,0,-3.81,34.38,0.00
249004,17,19,2.00,0.90,0.30,1.00,0.00,18.00,0.89,1.10,1.11,5.00,2,0,-3.89,35.10,0.00
249005,18,19,2.00,0.90,0.30,1.00,0.46,17.86,0.94,1.10,1.05,5.07,2,0,-3.96,34.53,0.02
249006,19,19,2.00,0.90,0.30,1.00,1.04,17.68,1.00,1.10,1.00,5.13,2,1,-4.03,33.52,0.05
249007,20,19,2.00,0.90,0.30,1.00,1.61,17.51,1.05,1.10,0.95,5.19,2,1,-4.09,32.51,0.08
249013,15,20,2.00,0.90,0.30,1.00,0.00,19.00,0.75,1.10,1.33,4.83,2,0,-3.73,35.43,0.00
249014,16,20,2.00,0.90,0.30,1.00,0.00,19.00,0.80,1.10,1.25,4.92,2,0,-3.81,36.29,0.00
249015,17,20,2.00,0.90,0.30,1.00,0.00,19.00,0.85,1.10,1.17,5.00,2,0,-3.89,37.05,0.00
249016,18,20,2.00,0.90,0.30,1.00,0.00,19.00,0.90,1.10,1.11,5.07,2,0,-3.96,37.71,0.00
249017,19,20,2.00,0.90,0.30,1.00,0.52,18.84,0.95,1.10,1.05,5.13,2,0,-4.03,36.91,0.02
249018,20,20,2.00,0.90,0.30,1.00,1.09,18.67,1.00,1.10,1.00,5.19,2,1,-4.08,35.95,0.05
249079,15,15,2.50,0.90,0.30,1.00,0.62,13.81,1.00,1.10,1.00,5.59,2,0,-4.49,29.61,0.04
249080,16,15,2.50,0.90,0.30,1.00,1.07,13.67,1.06,1.10,0.93,5.71,2,1,-4.61,29.04,0.07
249081,17,15,2.50,0.90,0.30,1.00,1.52,13.54,1.13,1.10,0.88,5.82,2,1,-4.71,28.36,0.10
249082,18,15,2.50,0.90,0.30,1.00,1.97,13.40,1.20,1.10,0.83,5.92,2,1,-4.81,27.54,0.12
249083,19,15,2.50,0.90,0.30,1.00,2.42,13.27,1.26,1.10,0.78,6.01,2,1,-4.90,26.63,0.15
249084,20,15,2.50,0.90,0.30,1.00,2.86,13.13,1.33,1.10,0.75,6.09,2,1,-4.99,25.62,0.17
249090,15,16,2.50,0.90,0.30,1.00,0.22,14.93,0.93,1.10,1.06,5.59,2,0,-4.49,33.02,0.01
249091,16,16,2.50,0.90,0.30,1.00,0.67,14.79,1.00,1.10,1.00,5.71,2,0,-4.61,32.54,0.04
249092,17,16,2.50,0.90,0.30,1.00,1.12,14.66,1.06,1.10,0.94,5.82,2,1,-4.71,31.95,0.07
249093,18,16,2.50,0.90,0.30,1.00,1.56,14.52,1.12,1.10,0.88,5.92,2,1,-4.81,31.23,0.09
249094,19,16,2.50,0.90,0.30,1.00,2.01,14.39,1.18,1.10,0.84,6.01,2,1,-4.90,30.39,0.12
249095,20,16,2.50,0.90,0.30,1.00,2.46,14.26,1.25,1.10,0.80,6.09,2,1,-4.99,29.44,0.14
